Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Expected_xG,Expected_xAG
Tiago Brito,pt POR,Estoril,"MF,FW",21,4,0,68,0,0,0,1,0,0.1,0.1
Jonathan Buatu Mananga,ao ANG,Gil Vicente FC,DF,32,11,11,945,0,0,0,2,0,0.9,0.0
Gian Cabezas,co COL,Alverca,"MF,FW",22,5,0,39,0,0,0,1,0,0.0,0.0
Jovane Cabral,cv CPV,Estrela,"MF,FW",27,6,4,418,0,0,0,2,0,0.6,0.2
Sidny Cabral,cv CPV,Estrela,"DF,MF",23,11,11,974,5,2,3,2,0,3.4,4.3
Gonzalo Calçada,es ESP,Estrela,FW,24,1,0,13,0,0,0,0,0,0.0,0.0
Diogo Calila,mz MOZ,Santa Clara,"MF,DF",27,7,1,168,0,0,0,2,0,0.1,0.0
Oumar Camara,fr FRA,Vitória,"FW,MF",18,7,3,342,1,0,1,1,0,1.0,0.1
Lazar Carević,me MNE,Famalicão,GK,26,11,11,990,0,0,0,3,0,0.0,0.0
Ryan Carlos,br BRA,Estrela,"DF,MF",23,4,1,154,0,0,0,0,0,0.0,0.1
Zé Carlos,pt POR,Gil Vicente FC,DF,27,11,9,775,0,0,0,3,0,0.2,0.4
Zé Carlos,pt POR,Gil Vicente FC,MF,24,11,2,350,0,0,0,2,0,0.2,0.0
Anthony Carter,au AUS,Santa Clara,FW,31,5,1,132,0,1,0,1,0,0.0,0.3
João Carvalho,pt POR,Estoril,"FW,MF",28,11,11,971,3,3,0,4,0,2.9,2.3
Pedro Carvalho,pt POR,Estoril,"MF,DF",22,11,8,668,0,1,0,3,0,0.5,0.2
Vitor Carvalho,br BRA,Braga,"DF,MF",28,3,3,233,1,0,0,2,0,0.5,0.1
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Facundo Cáseres,ar ARG,Gil Vicente FC,MF,24,11,11,909,0,0,0,2,0,0.4,0.4
Cassiano,br BRA,Casa Pia,FW,36,11,7,587,2,0,0,2,0,1.4,0.3
Juan Castillo,co COL,Vitória,GK,22,7,7,630,0,0,0,1,0,0.0,0.0
Cristian Castro,co COL,AVS Futebol,DF,24,10,10,855,0,0,0,2,0,0.0,0.1
Geny Catamo,mz MOZ,Sporting CP,FW,24,9,7,456,0,1,0,1,0,0.6,1.1
Ivan Cavaleiro,pt POR,Tondela,FW,32,8,6,546,1,0,0,1,0,2.1,1.6
André Ceitil,pt POR,Tondela,MF,30,1,0,11,0,0,0,0,0,0.0,0.0
Tidjany Chabrol,fr FRA,Gil Vicente FC,FW,23,1,0,2,0,0,0,0,0,0.0,0.0
Kevin Chamorro,cr CRC,Rio Ave,GK,25,1,1,90,0,0,0,0,0,0.0,0.0
Charles,br BRA,Vitória,GK,31,4,4,360,0,0,0,0,0,0.0,0.0
Atanas Chernev,bg BUL,Estrela,DF,23,11,11,955,0,0,0,3,0,1.1,0.0
Chiquinho,pt POR,Alverca,"FW,MF",25,4,4,330,0,0,0,2,0,0.4,0.2
Francisco Chissumba,pt POR,Alverca,"MF,DF",20,9,7,619,0,0,0,2,0,0.6,0.1
Clayton,br BRA,Rio Ave,FW,26,11,10,877,7,2,1,4,1,3.3,1.5
Clebinho,br BRA,Tondela,MF,28,5,3,211,0,0,0,2,0,0.0,0.1
Fábio Conceição,pt POR,Estrela,DF,24,2,2,126,1,0,0,0,0,0.7,0.1
Abdu Conté,pt POR,Casa Pia,MF,27,2,1,41,0,1,0,0,0,0.0,1.0
Alberto costa,pt POR,Porto,DF,22,9,8,703,0,5,0,1,0,0.6,2.7
Diogo Costa,pt POR,Porto,GK,26,11,11,990,0,0,0,1,0,0.0,0.0
Gonçalo Costa,pt POR,Estoril,"DF,MF",25,3,3,187,0,0,0,1,0,0.2,0.8
João Costa,pt POR,Santa Clara,FW,25,5,0,61,0,1,0,0,0,0.2,0.2
Murilo Costa,br BRA,Gil Vicente FC,"FW,MF",31,9,7,613,0,3,0,0,0,2.0,1.0
Yanis Da Rocha,pt POR,Braga,"MF,DF",21,1,0,21,0,0,0,0,0,0.0,0.0
Samuel Dahl,se SWE,Benfica,DF,25,11,10,885,1,0,0,1,0,0.1,0.7
Amadou Dante,ml MLI,Arouca,DF,25,8,5,480,0,0,0,0,0,0.2,0.2
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Mathias De Amorim,pt POR,Famalicão,MF,20,10,10,842,1,1,0,3,0,1.2,0.6
Zeno Debast,be BEL,Sporting CP,DF,22,8,7,663,0,0,0,2,0,0.2,0.2
Amar Dedić,ba BIH,Benfica,DF,23,8,8,666,1,1,0,4,1,0.2,1.5
Stéphane Diarra,fr FRA,Alverca,"FW,MF",26,2,0,19,0,0,0,0,0,0.0,0.1
Matheus Dias,br BRA,Nacional,"MF,DF",23,10,10,843,0,0,0,1,1,0.8,0.5
Ousmane Diomande,ci CIV,Sporting CP,DF,21,4,4,327,0,0,0,1,0,0.3,0.1
Naïs Djouahra,fr FRA,Arouca,FW,25,11,10,798,5,1,0,0,0,0.7,1.0
Maho Dorgelès,ci CIV,Braga,"MF,DF",21,6,3,302,1,0,0,0,0,0.8,0.2
Issiar Dramé,ml MLI,Estrela,DF,26,1,0,4,0,0,0,0,0,0.0,0.0
Diego Duarte,py PAR,AVS Futebol,"FW,MF",23,8,2,296,1,0,0,0,0,1.1,0.2
Edson,mz MOZ,AVS Futebol,DF,21,1,1,80,0,0,0,0,0,0.0,0.1
Espen van Ee,nl NED,Arouca,MF,22,4,1,84,1,0,0,0,0,0.3,0.0
Marvin Elimbi,fr FRA,Gil Vicente FC,DF,22,11,11,990,0,0,0,2,0,0.4,0.2
