Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Gls,Ast
Manuel Manu,pt POR,Benfica,MF,24-227,5,1,10700,0,0,0,0,0,0.00,0.00
Maracás,br BRA,Moreirense,DF,31-273,17,17,151,3,0,0,7,1,0.18,0.00
Maranhão,br BRA,Tondela,"MF,FW",26-329,18,16,136,3,1,2,4,0,0.20,0.07
Abraham Marcus,ng NGA,Estrela,"MF,FW",26-023,17,16,133,3,2,0,1,1,0.20,0.14
Alejandro Marqués,ve VEN,Estoril,FW,25-174,13,6,53200,3,0,0,1,0,0.51,0.00
Christian Marques,ch SUI,Tondela,DF,23-010,16,16,140,0,0,0,2,0,0.00,0.00
Álvaro Martínez,es ESP,Moreirense,DF,23-266,10,5,49000,0,0,0,1,0,0.00,0.00
Gabri Martínez,es ESP,Braga,MF,23-003,16,5,61200,0,2,0,2,0,0.00,0.29
Julián Martínez,hn HON,Alverca,DF,22-055,8,6,59500,0,0,0,1,0,0.00,0.00
Bernardo Martins,pt POR,Moreirense,MF,28-052,14,6,61200,1,1,0,1,0,0.15,0.15
Diogo Martins,pt POR,Alverca,FW,29-157,1,0,800,0,0,0,0,0,0.00,0.00
Nor Maviram,ng NGA,Tondela,DF,24-296,16,14,125,2,2,0,3,0,0.14,0.14
Brayan Medina,co COL,Tondela,DF,23-327,15,15,132,0,0,0,7,2,0.00,0.00
Tobías Medina,ar ARG,Rio Ave,MF,21-328,1,0,1200,0,0,0,0,0,0.00,0.00
Jorge Meireles,pt POR,Estrela,"MF,FW",21-296,14,6,55100,0,2,0,0,0,0.00,0.33
Claudio Mendes,gw GNB,Casa Pia,FW,25-048,2,0,4200,1,0,0,0,1,2.14,0.00
João Mendes,pt POR,Vitória Guimarães,"DF,MF",25-287,16,16,133,0,0,0,6,0,0.00,0.00
Matheus Mendes,br BRA,Alverca,GK,26-321,1,1,9000,0,0,0,0,0,0.00,0.00
Tomás Mendes,es ESP,Alverca,MF,21-065,5,3,31100,0,1,0,1,0,0.00,0.29
Gustavo Mendonça,pt POR,AVS Futebol,"MF,DF",22-320,7,2,29800,0,0,0,1,0,0.00,0.00
Bastien Meupiyou,fr FRA,Alverca,DF,19-312,16,16,139,0,0,0,3,0,0.00,0.00
Michel,br BRA,Moreirense,DF,22-250,4,3,30000,0,0,0,1,0,0.00,0.00
Marko Milovanović,rs SRB,Alverca,FW,22-174,17,12,96700,5,0,2,3,0,0.47,0.00
Miro,ao ANG,Tondela,FW,22-278,4,4,27900,0,0,0,1,0,0.00,0.00
Cezary Miszta,pl POL,Rio Ave,GK,24-087,17,17,153,0,0,0,5,0,0.00,0.00
Matija Mitrovic,rs SRB,Vitória Guimarães,MF,21-044,15,6,64800,2,0,0,2,0,0.28,0.00
Iyad Mohamed,km COM,Casa Pia,MF,24-326,9,4,38300,1,0,0,3,0,0.23,0.00
João Moisés,ao ANG,Estrela,"FW,MF",19-187,8,4,28300,0,1,0,2,0,0.00,0.32
Guillem Molina,es ESP,AVS Futebol,DF,25-267,3,3,25400,0,0,0,0,0,0.00,0.00
Rodrigo Mora,pt POR,Porto,MF,18-265,15,9,68000,1,1,0,0,0,0.13,0.13
Agustín Moreira,uy URU,Gil Vicente FC,"MF,FW",24-242,7,3,29000,0,1,0,1,0,0.00,0.31
Paulo Moreira,pt POR,Estrela,MF,25-342,17,17,143,2,1,0,3,1,0.13,0.06
Vasco Moreira,pt POR,Alverca,MF,24-263,1,0,100,0,0,0,0,0,0.00,0.00
Hidemasa Morita,jp JPN,Sporting CP,MF,30-260,16,9,76500,0,1,0,1,0,0.00,0.12
Gabriel Moscardo,br BRA,Braga,"MF,FW",20-119,10,2,27300,0,0,0,1,0,0.00,0.00
Moura,pt POR,Porto,DF,26-162,15,13,99400,2,2,0,4,0,0.18,0.18
João Moutinho,pt POR,Braga,MF,39-139,16,13,104,1,0,1,3,0,0.09,0.00
MT,br BRA,Santa Clara,DF,24-330,12,7,75200,1,0,0,2,0,0.12,0.00
Jonathan Mutombo,fr FRA,Gil Vicente FC,MF,23-151,2,0,3900,0,0,0,0,0,0.00,0.00
Dylan Nandín,uy URU,Arouca,FW,23-331,12,9,70400,0,0,0,1,1,0.00,0.00
Fran Navarro,es ESP,Braga,FW,27-356,14,8,63500,3,0,0,1,0,0.43,0.00
Kaiky Naves,br BRA,Alverca,DF,23-262,17,17,148,0,0,0,5,1,0.00,0.00
Alioune Ndoye,sn SEN,Vitória Guimarães,FW,24-112,17,5,69400,2,0,0,2,0,0.26,0.00
Christian Neiva Afonso,pt POR,AVS Futebol,"DF,MF",31-046,16,14,110,0,0,0,2,0,0.00,0.00
Guilherme Neiva Silva,br BRA,AVS Futebol,"MF,DF",24-316,12,3,41900,1,1,0,1,0,0.21,0.21
Nenê,br BRA,AVS Futebol,FW,42-181,13,1,26700,4,0,2,2,0,1.35,0.00
José Neto,pt POR,Benfica,DF,17-281,1,0,500,0,0,0,0,0,0.00,0.00
Andre Neves,pt POR,Estoril,MF,21-247,4,0,7800,0,0,0,1,0,0.00,0.00
Oumar Ngom,mr MTN,Estrela,MF,21-322,11,9,83200,0,1,0,5,1,0.00,0.11
Renato Nhaga,gw GNB,Casa Pia,MF,18-304,18,13,117,2,0,0,4,0,0.15,0.00
Sikou Niakaté,ml MLI,Braga,DF,26-199,9,9,78400,0,0,0,1,0,0.00,0.00
Tamás Nikitscher,hu HUN,Rio Ave,MF,26-083,11,1,21200,0,1,0,3,1,0.00,0.42
Miguel Nóbrega,pt POR,Vitória Guimarães,DF,25-283,9,7,65600,1,0,0,0,0,0.14,0.00
Gonçalo Nogueira,pt POR,Vitória Guimarães,MF,22-028,11,10,75700,0,2,0,2,0,0.00,0.24
João Nogueira,pt POR,Vitória Guimarães,"MF,FW",20-332,7,5,34800,0,0,0,0,0,0.00,0.00
Mootez Nourani,tn TUN,Nacional,"MF,FW",23-348,6,2,16100,0,0,0,1,0,0.00,0.00
João Novais,pt POR,Rio Ave,MF,32-199,2,0,4600,0,0,0,1,0,0.00,0.00
Andreas Ntoi,gr GRE,Rio Ave,"MF,DF",22-357,16,15,130,0,1,0,6,0,0.00,0.07
Alan Núñez,py PAR,Nacional,DF,21-116,5,3,29700,0,0,0,0,0,0.00,0.00
Cedric Nuozzi,be BEL,Alverca,"FW,MF",19-360,17,10,79100,1,0,0,0,0,0.11,0.00
Rafel Obrador,es ESP,Benfica,DF,21-335,1,1,6700,0,0,0,0,0,0.00,0.00
Lawrence Ofori,gh GHA,Casa Pia,MF,27-211,1,0,1100,0,0,0,0,0,0.00,0.00
Lawrence Ofori,gh GHA,Moreirense,MF,27-211,4,3,20700,0,1,0,0,0,0.00,0.43
Nélson Oliveira,pt POR,Vitória Guimarães,FW,34-170,16,11,86300,3,0,0,3,1,0.31,0.00
Paulo Oliveira,pt POR,Braga,DF,34-017,7,5,38600,0,0,0,1,0,0.00,0.00
Samu Omorodion,es ESP,Porto,FW,21-265,17,16,119,11,1,4,2,0,0.83,0.08
Ejike Opara,ng NGA,Vitória Guimarães,MF,20-204,1,0,900,0,0,0,0,0,0.00,0.00
Jandro Orellana,es ESP,Estoril,MF,25-171,9,9,66800,0,1,0,2,0,0.00,0.13
Korede Osundina,us USA,Casa Pia,"FW,MF",21-346,7,3,27500,2,0,0,0,0,0.65,0.00
Nicolás Otamendi,ar ARG,Benfica,DF,37-347,17,17,153,2,0,0,5,0,0.12,0.00
Otávio,br BRA,Estrela,DF,20-061,9,7,52600,0,1,0,2,0,0.00,0.17
Sie Ouattara,ci CIV,Tondela,MF,23-250,8,3,24300,0,0,0,0,0,0.00,0.00
Amine El Ouazzani,ma MAR,Braga,FW,24-194,9,6,56800,2,0,1,0,0,0.32,0.00
Yassin Oukili,nl NED,Casa Pia,MF,25-022,8,6,45900,0,0,0,2,0,0.00,0.00
Pablo,br BRA,Nacional,"MF,FW",22-358,11,8,61700,0,0,0,3,1,0.00,0.00
Pablo,br BRA,Gil Vicente FC,FW,22-023,13,12,94500,10,1,2,4,0,0.95,0.10
Jonathan Panzo,eng ENG,Rio Ave,DF,25-092,13,13,108,0,0,0,3,1,0.00,0.00
Antonios Papakanellos,gr GRE,Rio Ave,MF,20-167,10,0,15600,0,0,0,0,0,0.00,0.00
Tiago Parente,pt POR,Estoril,MF,22-011,14,4,49400,1,0,0,3,0,0.18,0.00
Fode Pascoal,gw GNB,Braga,DF,21-030,1,0,1100,0,0,0,0,0,0.00,0.00
Luan Patrick,br BRA,Estrela,DF,24-005,18,18,158,0,0,0,2,0,0.00,0.00
Patrick de Paula,br BRA,Estoril,MF,26-139,9,3,40900,1,0,0,4,0,0.22,0.00
Vangelis Pavlidis,gr GRE,Benfica,FW,27-065,18,17,150,17,4,8,2,0,01.02,0.24
Zé Pedro Figueiredo,pt POR,Porto,DF,28-233,2,0,3000,0,0,0,0,0,0.00,0.00
Jordan Pefok,us USA,Tondela,FW,29-274,14,11,88700,1,0,0,3,0,0.10,0.00
Marcos Peña,es ESP,Famalicão,MF,21-003,5,2,15900,0,0,0,3,0,0.00,0.00
Pepê,br BRA,Porto,FW,28-335,15,15,111,2,3,0,1,0,0.16,0.24
Óscar Perea,co COL,AVS Futebol,"MF,FW",20-120,13,11,81200,2,0,0,0,0,0.22,0.00
Matheus Pereira,br BRA,Santa Clara,"FW,MF",25-035,10,8,72000,0,1,0,2,0,0.00,0.12
Sebastián Pérez Cardona,co COL,Casa Pia,MF,32-302,17,12,107,0,0,0,4,0,0.00,0.00
Nehuén Pérez,ar ARG,Porto,DF,25-215,5,4,36400,1,0,0,0,0,0.25,0.00
Francisco Petrasso,ar ARG,Rio Ave,DF,23-331,16,14,116,0,0,0,4,0,0.00,0.00
Oskar Pietuszewski,pl POL,Porto,MF,17-250,1,0,1800,0,0,0,1,0,0.00,0.00
Rodrigo Pinheiro,pt POR,Famalicão,DF,23-150,18,18,162,1,2,0,3,0,0.06,0.11
Rodrigo Pinho,br BRA,Estrela,FW,34-240,15,2,33600,1,1,0,2,0,0.27,0.27
Alexandre Pinto,pt POR,Arouca,"DF,MF",27-201,7,5,33600,0,0,0,2,1,0.00,0.00
Dinis Pinto,pt POR,Moreirense,DF,25-154,18,18,160,1,6,0,5,0,0.06,0.34
Pizzi,pt POR,Estoril,MF,36-111,12,1,32200,0,1,0,0,0,0.00,0.28
Ole Pohlmann,de GER,Rio Ave,FW,24-295,16,11,90600,0,1,0,1,0,0.00,0.10
Carlos Ponck,cv CPV,AVS Futebol,DF,31-012,7,6,55100,0,0,0,2,0,0.00,0.00
Boris Popović,rs SRB,Arouca,DF,25-333,13,12,98800,1,0,0,2,0,0.09,0.00
Gianluca Prestianni,ar ARG,Benfica,MF,19-359,14,5,56400,2,1,0,3,1,0.32,0.16
Kevin Prieto,uy URU,Casa Pia,FW,22-212,6,0,8800,0,0,0,0,0,0.00,0.00
Dominik Prpić,hr CRO,Porto,DF,21-251,5,0,9400,0,0,0,0,0,0.00,0.00
Miguel Puche García,es ESP,Arouca,MF,24-270,18,5,62000,0,1,0,3,0,0.00,0.15
Eduardo Quaresma,pt POR,Sporting CP,DF,23-329,6,4,39700,1,1,0,1,0,0.23,0.23
Geovany Quenda,pt POR,Sporting CP,MF,18-270,13,5,66800,1,4,0,0,0,0.13,0.54
Jesús Ramírez,ve VEN,Nacional,FW,27-266,18,18,157,12,0,5,4,0,0.69,0.00
Cláudio Ramos,pt POR,Porto,GK,34-070,1,0,4500,0,0,0,0,0,0.00,0.00
Leonardo Realpe,ec ECU,Famalicão,DF,24-333,16,15,132,1,0,0,4,1,0.07,0.00
João Rêgo,pt POR,Benfica,MF,20-219,8,0,6500,1,0,0,0,0,1.38,0.00
Rodrigo Rego,pt POR,Benfica,MF,21-022,3,1,11200,0,0,0,0,0,0.00,0.00
Francisco Reis Ferreira,pt POR,Estoril,DF,28-305,14,5,66400,0,0,0,1,0,0.00,0.00
Matheus Reis,br BRA,Sporting CP,DF,30-341,9,3,35900,0,2,0,0,1,0.00,0.50
João Resende,pt POR,Estrela,FW,22-305,2,0,1000,0,0,0,0,0,0.00,0.00
Renan Ribeiro,br BRA,Estrela,GK,35-308,18,18,162,0,0,0,2,0,0.00,0.00
Omar Richards,eng ENG,Rio Ave,MF,27-344,3,2,16900,0,0,0,0,0,0.00,0.00
Richard Ríos,co COL,Benfica,MF,25-237,16,16,137,0,0,0,6,0,0.00,0.00
Daniel Rivas,py PAR,AVS Futebol,DF,24-050,14,5,61300,0,1,0,3,0,0.00,0.15
Óscar Rivas,es ESP,Vitória Guimarães,DF,25-304,11,11,99000,1,0,0,1,0,0.09,0.00
Robinho,br BRA,Estrela,"MF,FW",23-171,12,4,42900,0,0,0,4,0,0.00,0.00
Joel Robles,es ESP,Estoril,GK,35-222,19,19,171,0,0,0,1,0,0.00,0.00
Kaique Rocha,br BRA,Casa Pia,DF,24-331,6,6,49200,1,0,0,0,0,0.18,0.00
Matí­as Rocha,uy URU,Arouca,DF,24-346,8,8,69900,0,0,0,2,1,0.00,0.00
Ricardo Rocha,pt POR,Vitória Guimarães,MF,22-140,1,0,600,0,0,0,0,0,0.00,0.00
Rochinha,pt POR,Famalicão,"FW,MF",30-267,1,0,400,0,0,0,0,0,0.00,0.00
Rodri,es ESP,Moreirense,MF,23-021,12,4,47600,1,2,0,1,0,0.19,0.38
Afonso Rodrigues,pt POR,Tondela,FW,23-159,6,0,9200,0,0,0,1,0,0.00,0.00
Diego Rodrigues,pt POR,Braga,MF,20-246,11,4,45600,1,1,0,0,0,0.20,0.20
Luís Carlos Rocha Rodrigues,pt POR,Santa Clara,DF,39-165,13,13,117,0,0,0,5,0,0.00,0.00
Rodrigo Rodrigues,pt POR,Gil Vicente FC,MF,18-050,3,0,3500,0,0,0,2,0,0.00,0.00
Juan Rodríguez,ec ECU,Tondela,MF,19-304,17,12,106,0,0,0,3,0,0.00,0.00
Yefrei Rodríguez,co COL,Tondela,FW,20-259,14,1,41700,1,0,0,1,0,0.22,0.00
Rômulo,br BRA,Sporting CP,DF,21-359,1,0,700,0,0,0,1,0,0.00,0.00
Budiga Roni,br BRA,AVS Futebol,MF,26-285,2,2,13000,0,0,0,1,0,0.00,0.00
Pablo Rosario,do DOM,Porto,"MF,DF",29-018,13,6,75200,1,0,0,5,0,0.12,0.00
Gustavo sá,pt POR,Famalicão,MF,21-075,18,18,155,4,1,0,4,0,0.23,0.06
Borja Sainz,es ESP,Porto,FW,24-358,17,13,111,5,2,0,5,0,0.40,0.16
Kelian Nsona Wa Saka,fr FRA,Casa Pia,"MF,FW",23-259,9,6,47700,1,1,0,0,0,0.19,0.19
Samu,pt POR,Vitória Guimarães,MF,29-279,14,10,86100,2,1,0,0,0,0.21,0.10
Ricard Sánchez,es ESP,Estoril,"DF,MF",25-337,12,11,75100,2,2,0,5,0,0.24,0.24
Javi Sánchez,es ESP,Arouca,DF,28-317,2,2,18000,0,0,0,2,0,0.00,0.00
Aderlan Santos,br BRA,AVS Futebol,DF,36-291,9,7,52700,0,0,0,2,0,0.00,0.00
Alisson Santos,br BRA,Sporting CP,MF,23-120,17,0,18600,0,1,0,0,0,0.00,0.48
Hevertton Santos,br BRA,Gil Vicente FC,DF,24-358,14,5,51900,0,1,0,4,1,0.00,0.17
Léo Santos,br BRA,Nacional,DF,27-047,17,16,146,2,1,0,6,0,0.12,0.06
Nuno Santos,pt POR,Vitória Guimarães,FW,26-329,5,3,22200,0,1,0,0,0,0.00,0.41
Pedro Santos,pt POR,Arouca,MF,25-105,10,8,69300,0,0,0,2,0,0.00,0.00
Pedro Santos,pt POR,Famalicão,MF,22-349,9,1,21600,0,0,0,1,0,0.00,0.00
Zaidu Sanusi,ng NGA,Porto,DF,28-226,8,2,35100,1,1,0,0,0,0.26,0.26
Noah Saviolo,be BEL,Vitória Guimarães,MF,21-324,15,11,90000,1,2,0,1,0,0.10,0.20
Bernardo Schappo,br BRA,Estrela,DF,26-309,16,15,132,0,0,0,4,0,0.00,0.00
Guilherme Schettine,br BRA,Moreirense,FW,30-107,15,14,98400,9,1,0,1,0,0.82,0.09
Andreas Schjelderup,no NOR,Benfica,MF,21-238,12,6,54500,1,2,0,1,0,0.17,0.33
Caio Secco,br BRA,Moreirense,GK,35-034,9,9,81000,0,0,0,2,0,0.00,0.00
Luis Semedo,pt POR,Moreirense,FW,22-167,10,3,40200,1,0,0,0,0,0.22,0.00
Rúben Semedo,pt POR,AVS Futebol,DF,31-296,8,8,68600,0,0,0,3,1,0.00,0.00
Hugo Sequeira,pt POR,Tondela,"FW,MF",21-328,13,7,70400,0,0,0,1,0,0.00,0.00
Patrick Sequeira,cr CRC,Casa Pia,GK,26-330,14,14,118,0,0,0,2,1,0.00,0.00
Serginho,pt POR,Santa Clara,MF,26-055,18,17,134,3,1,3,5,0,0.20,0.07
Guilherme Serrão,pt POR,Estrela,"MF,DF",22-133,11,4,52800,0,0,0,2,0,0.00,0.00
Xander Severina,cw CUW,Casa Pia,"FW,MF",24-288,5,0,10300,0,0,0,1,0,0.00,0.00
Sidney,br BRA,Santa Clara,DF,29-008,18,18,158,0,0,0,7,1,0.00,0.00
António Silva,pt POR,Benfica,DF,22-087,11,9,85700,0,0,0,2,0,0.00,0.00
Gustavo da Silva,br BRA,Vitória Guimarães,"FW,MF",26-238,8,6,55400,1,1,0,1,0,0.16,0.16
Henrique Silva,br BRA,Santa Clara,DF,20-100,5,4,33200,0,0,0,0,0,0.00,0.00
Joel silva,pt POR,Nacional,MF,22-348,8,0,10100,0,0,0,0,0,0.00,0.00
Eric da Silva Moreira,de GER,Rio Ave,DF,19-267,3,0,7300,0,0,0,0,0,0.00,0.00
Rui Silva,pt POR,Sporting CP,GK,31-352,17,17,153,0,0,0,2,0,0.00,0.00
Thiago Silva,br BRA,Porto,DF,41-125,1,1,9000,0,0,0,0,0,0.00,0.00
Tiago Silva,pt POR,Vitória Guimarães,MF,32-237,4,3,28700,1,0,1,3,0,0.31,0.00
David Simão,pt POR,Arouca,MF,35-255,12,8,65800,0,0,0,3,0,0.00,0.00
João Simões,pt POR,Sporting CP,MF,19-019,12,8,61100,0,1,0,2,0,0.00,0.15
Sphephelo Sithole,za RSA,Tondela,MF,26-328,14,11,101,1,0,0,3,0,0.09,0.00
Filipe Soares,pt POR,Nacional,MF,26-250,10,2,31800,0,0,0,2,0,0.00,0.00
Lucas Soares,br BRA,Santa Clara,"MF,DF",27-266,16,16,131,0,0,0,2,0,0.00,0.00
Rafa Soares,pt POR,Famalicão,DF,30-261,12,9,69300,0,1,0,3,0,0.00,0.13
Samuel Soares,pt POR,Benfica,GK,23-224,2,2,18000,0,0,0,1,0,0.00,0.00
Alex Sola,ao ANG,Estrela,"MF,FW",22-042,8,5,33400,0,0,0,1,0,0.00,0.00
Arnau Solà,es ESP,Arouca,DF,22-296,10,7,58800,0,1,0,1,0,0.00,0.15
André Sousa,pt POR,Nacional,MF,35-200,6,0,2600,0,1,0,1,0,0.00,3.46
David Sousa,br BRA,Casa Pia,DF,24-205,14,13,121,2,0,0,8,0,0.15,0.00
Miguel Sousa,pt POR,Casa Pia,"FW,MF",27-128,12,3,32900,0,2,0,3,0,0.00,0.55
Vasco Sousa,pt POR,Moreirense,MF,22-297,9,6,46000,1,0,0,2,1,0.20,0.00
Diogo Spencer,pt POR,AVS Futebol,"MF,DF",21-283,13,12,100,1,2,0,2,0,0.09,0.18
Dario Špikić,hr CRO,Rio Ave,"FW,MF",26-309,14,10,74600,2,0,0,1,0,0.24,0.00
Mateja Stjepanović,rs SRB,Moreirense,MF,21-339,19,17,146,0,0,0,4,0,0.00,0.00
Ianis Stoica,ro ROU,Estrela,"FW,MF",23-048,17,7,69600,2,2,0,2,0,0.26,0.26
Tony Strata,ro ROU,Vitória Guimarães,DF,21-140,7,2,32000,0,1,0,1,0,0.00,0.28
Heorhiy Sudakov,ua UKR,Benfica,MF,23-146,15,14,112,4,1,0,2,0,0.32,0.08
Max Svensson,es ESP,Casa Pia,FW,24-078,6,1,17900,0,0,0,1,0,0.00,0.00
Hélder Tavares,cv CPV,Tondela,MF,36-030,10,4,31100,0,0,0,1,1,0.00,0.00
José Tavares,,Santa Clara,MF,22-237,12,2,29400,0,0,0,3,0,0.00,0.00
Duplexe Tchamba,cm CMR,Casa Pia,DF,27-199,5,5,41500,1,0,0,2,0,0.22,0.00
Cédric Teguia,es ESP,Moreirense,"MF,FW",24-116,13,8,62000,0,0,0,1,0,0.00,0.00
Tomané,pt POR,AVS Futebol,FW,33-094,15,14,115,1,0,0,3,0,0.08,0.00
João Tomé,pt POR,Rio Ave,MF,22-347,7,4,36900,0,0,0,1,0,0.00,0.00
Welinton Torrão,br BRA,Santa Clara,MF,26-209,3,0,4300,0,0,0,1,0,0.00,0.00
Nabil Touaizi,ma MAR,Alverca,"MF,DF",24-358,18,16,147,1,2,1,4,0,0.06,0.12
Diogo Travassos,pt POR,Moreirense,"MF,FW",21-300,15,13,119,3,1,0,1,0,0.23,0.08
Alfonso Trezza,uy URU,Arouca,MF,26-217,19,17,140,6,2,0,1,0,0.39,0.13
Francisco Trincão,pt POR,Sporting CP,MF,26-027,19,19,164,4,7,0,0,0,0.22,0.38
Anatolii Trubin,ua UKR,Benfica,GK,24-177,16,16,144,0,0,0,0,0,0.00,0.00
Antef Tsoungui,be BEL,Estoril,"DF,MF",23-026,10,5,46800,0,0,0,4,0,0.00,0.00
Ulisses,br BRA,Nacional,DF,26-119,5,3,22400,0,0,0,4,1,0.00,0.00
Georgios Vagiannidis,gr GRE,Sporting CP,DF,24-135,12,7,79300,0,3,0,2,0,0.00,0.34
João Valido,pt POR,Arouca,GK,25-328,9,9,81000,0,0,0,0,0,0.00,0.00
Lenny Vallier,fr FRA,Nacional,DF,26-276,6,3,26900,0,0,0,1,0,0.00,0.00
Alan Varela,ar ARG,Porto,MF,24-205,17,15,127,2,0,1,4,0,0.14,0.00
Gustavo Varela,pt POR,Gil Vicente FC,FW,20-360,17,6,65200,1,2,0,2,0,0.14,0.28
Nilton Varela,pt POR,Estrela,MF,24-245,1,1,5700,0,0,0,0,0,0.00,0.00
Gabriel Veiga,es ESP,Porto,MF,23-243,16,9,76900,1,4,0,2,0,0.12,0.47
João Veloso,pt POR,Benfica,MF,20-213,2,0,200,0,0,0,0,0,0.00,0.00
Frederico Venâncio,pt POR,Santa Clara,DF,32-355,14,14,117,1,0,0,2,0,0.08,0.00
Gabriel Veron,br BRA,Nacional,"FW,MF",23-144,1,0,2700,0,0,0,0,0,0.00,0.00
Pau Victor,es ESP,Braga,"FW,MF",24-060,17,13,109,3,0,0,3,0,0.25,0.00
Paulo Victor,br BRA,Santa Clara,"MF,DF",24-287,15,12,98400,1,0,0,3,1,0.09,0.00
Sandro Vidigal,pt POR,Braga,MF,18-181,3,0,4300,0,0,0,0,0,0.00,0.00
Gabriel Vieira,br BRA,Santa Clara,FW,23-309,14,11,95300,1,0,1,1,0,0.09,0.00
Marcos Vinicios Sorriso,br BRA,Famalicão,MF,24-336,18,18,155,3,3,0,4,0,0.17,0.17
Vinícius,br BRA,Santa Clara,"FW,MF",26-263,16,12,100,5,0,0,5,0,0.45,0.00
João Virgínia,pt POR,Sporting CP,GK,26-107,2,2,18000,0,0,0,0,0,0.00,0.00
Rémy Vita,km COM,Tondela,DF,24-299,4,2,22700,0,0,0,2,0,0.00,0.00
Paulo Vitor,br BRA,Vitória Guimarães,DF,24-190,1,0,500,0,0,0,0,0,0.00,0.00
Paulo Vitor,br BRA,AVS Futebol,DF,24-190,4,3,33700,0,0,0,0,1,0.00,0.00
Zé Vitor,br BRA,Nacional,DF,24-350,16,16,141,4,0,0,4,1,0.25,0.00
Marious Vrousai,gr GRE,Rio Ave,MF,27-207,16,15,123,1,1,0,2,1,0.07,0.07
Watts,pt POR,Nacional,FW,20-195,6,0,5700,0,0,0,1,0,0.00,0.00
Wendel,br BRA,Santa Clara,FW,25-176,11,10,80000,1,2,1,2,0,0.11,0.23
Witi,mz MOZ,Nacional,"FW,MF",29-152,15,6,60600,0,0,0,2,0,0.00,0.00
Xeka,pt POR,Estoril,MF,31-076,1,0,1300,0,0,0,0,0,0.00,0.00
Yassir Zabiri,ma MAR,Famalicão,FW,20-336,12,7,66100,4,0,0,2,0,0.54,0.00
Rodrigo Zalazar,uy URU,Braga,"MF,FW",26-166,16,12,112,7,1,6,5,0,0.57,0.08
Karem Zoabi,il ISR,Rio Ave,FW,19-267,3,1,5900,0,0,0,1,0,0.00,0.00
