Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Gls,Ast
Paulinho Bóia,br BRA,Nacional,"MF,FW",27-213,18,18,154,2,2,0,4,0,0.12,0.12
Kévin Boma,tg TOG,Estoril,DF,23-066,18,18,157,1,0,0,4,0,0.06,0.00
Pedro Bondo,ao ANG,Famalicão,DF,21-070,12,9,79300,0,0,0,3,0,0.00,0.00
Kiko Bondoso,pt POR,Moreirense,"MF,FW",30-069,16,12,103,0,2,0,0,0,0.00,0.18
Toni Borevkovic,hr CRO,Vitória Guimarães,DF,28-221,1,1,9000,0,0,0,0,0,0.00,0.00
Jakub Brabec,cz CZE,Rio Ave,DF,33-172,11,10,94500,0,0,0,2,0,0.00,0.00
Daniel Bragança,pt POR,Sporting CP,MF,26-243,1,0,2500,1,0,0,0,0,3.60,0.00
Brenner,br BRA,Santa Clara,"FW,MF",24-023,16,9,83200,0,0,0,1,0,0.00,0.00
Rafael Brito,pt POR,Casa Pia,MF,24-006,11,6,51200,0,1,0,2,0,0.00,0.18
Tiago Brito,pt POR,Estoril,DF,21-284,4,0,6800,0,0,0,1,0,0.00,0.00
Jonathan Buatu Mananga,ao ANG,Gil Vicente FC,DF,32-120,15,15,131,0,0,0,2,0,0.00,0.00
Gian Cabezas,co COL,Alverca,MF,23-024,5,0,3900,0,0,0,1,0,0.00,0.00
Jovane Cabral,cv CPV,Estrela,"MF,FW",27-225,13,9,86000,3,0,0,5,0,0.31,0.00
Sidny Cabral,cv CPV,Estrela,"MF,DF",23-129,15,15,132,5,3,3,3,0,0.34,0.20
Sidny Cabral,cv CPV,Benfica,"DF,MF",23-129,2,0,4300,0,0,0,0,0,0.00,0.00
Gonzalo Calçada,es ESP,Estrela,MF,24-184,1,0,1300,0,0,0,0,0,0.00,0.00
Diogo Calila,mz MOZ,Santa Clara,MF,27-107,12,2,32600,0,0,0,3,0,0.00,0.00
Oumar Camara,fr FRA,Vitória Guimarães,"FW,MF",18-259,15,10,87100,3,1,1,1,0,0.31,0.10
Lazar Carević,me MNE,Famalicão,GK,26-315,18,18,162,0,0,0,4,0,0.00,0.00
Ryan Carlos,br BRA,Estrela,MF,23-256,4,1,15400,0,0,0,0,0,0.00,0.00
Zé Carlos,pt POR,Gil Vicente FC,DF,27-178,18,16,135,0,0,0,4,0,0.00,0.00
Zé Carlos,pt POR,Gil Vicente FC,MF,24-087,16,3,53500,0,0,0,3,0,0.00,0.00
Anthony Carter,au AUS,Santa Clara,FW,31-147,5,1,13200,0,1,0,1,0,0.00,0.68
João Carvalho,pt POR,Estoril,"MF,FW",28-322,19,19,162,5,7,0,4,0,0.28,0.39
Pedro Carvalho,pt POR,Estoril,"MF,DF",22-345,15,9,80400,0,1,0,4,0,0.00,0.11
Vitor Carvalho,br BRA,Braga,DF,28-243,9,8,63900,1,0,0,3,0,0.14,0.00
Facundo Cáseres,ar ARG,Gil Vicente FC,MF,24-242,17,17,137,0,0,0,5,0,0.00,0.00
Cassiano,br BRA,Casa Pia,FW,36-223,19,12,102,2,0,0,4,0,0.18,0.00
